"","name","player_id","year","pa","avg","obp","slg","ops","woba","home_run","adj_k_pct","adj_bb_pct","adj_xba","adj_xslg","adj_xwoba","adj_xwobacon","adj_barrel_pct","adj_hh_pct","adj_zswm_pct","adj_ozsw_pct","adj_ozswm_pct","adj_hr_rate","probC1","probC2","probC3","probC4","probC5","probC6","Cluster","PlayerYear"
"1","Ellis, A.J.",454560,2015,217,0.238,0.355,0.403,0.758,0.336,7,89.22,187.14,97.03,102,108.26,97.5,120.01,93.78,83.75,46.7,93.61,116.02,0.045,0.01,0.003,0,0.006,0.935,6,"A.J. Ellis 2015"
"2","Pierzynski, A.J.",150229,2015,436,0.3,0.339,0.43,0.769,0.333,9,43.34,56.02,110.61,99.76,100.66,89.54,61.77,74.85,67.13,133.27,53.76,74.24,0.004,0.001,0.965,0,0,0.029,3,"A.J. Pierzynski 2015"
"3","Pierzynski, A.J.",150229,2016,259,0.219,0.243,0.304,0.547,0.236,2,55,27.43,97.58,82.92,83.73,77.7,27.42,95.58,61.46,150.49,83.99,24.29,0,0.01,0.989,0,0,0,3,"A.J. Pierzynski 2016"
"4","Pollock, AJ",572041,2015,673,0.315,0.367,0.498,0.865,0.371,20,67.3,100.57,116.6,110.23,109.84,101.9,100.6,113.88,48.52,98.51,101.37,106.89,0.207,0.001,0.014,0,0,0.777,6,"AJ Pollock 2015"
"5","Pollock, AJ",572041,2017,466,0.266,0.33,0.471,0.801,0.34,14,72.82,85.58,110.27,104.37,104.99,97.79,83.85,111.34,61.48,92.1,94.13,87.17,0.182,0.008,0.091,0,0,0.719,6,"AJ Pollock 2017"
"6","Pollock, AJ",572041,2018,460,0.257,0.316,0.484,0.8,0.338,21,101.24,77.12,100.78,114.13,104.45,106.52,140.75,110.98,67.68,103.82,130.09,145.59,0.852,0.008,0.001,0.001,0.019,0.119,1,"AJ Pollock 2018"
"7","Pollock, AJ",572041,2019,342,0.266,0.327,0.468,0.795,0.333,15,98.15,76.77,100.83,102.67,100.82,100.35,102.36,105.81,89.8,100.62,123.75,115.54,0.681,0.1,0.02,0,0.014,0.186,1,"AJ Pollock 2019"
"8","Pollock, AJ",572041,2021,422,0.297,0.355,0.536,0.891,0.375,21,85.1,79.95,113.69,118.99,110.85,109.72,131.53,119.26,79.06,119.37,105.85,145.87,0.825,0,0.001,0.004,0.001,0.168,1,"AJ Pollock 2021"
"9","Pollock, AJ",572041,2022,527,0.245,0.292,0.389,0.681,0.297,14,84.21,74.56,106.65,106.59,101.8,99.95,119.75,107.99,87.5,116.06,105.49,90.95,0.673,0.027,0.04,0,0.001,0.259,1,"AJ Pollock 2022"
"10","Altherr, Aaron",571437,2016,227,0.197,0.3,0.288,0.588,0.266,4,149.27,120.46,84.55,74.77,87.78,93.29,47.22,98.4,121.66,96.62,125.07,55.43,0.003,0.987,0.003,0,0.006,0.001,2,"Aaron Altherr 2016"
"11","Altherr, Aaron",571437,2017,412,0.272,0.34,0.516,0.856,0.359,19,120.74,89.01,102,110.47,104.99,112.37,155.72,124.1,125.32,92.83,130.6,133.8,0.651,0.005,0,0.009,0.309,0.026,1,"Aaron Altherr 2017"
"12","Altherr, Aaron",571437,2018,285,0.181,0.295,0.333,0.628,0.282,8,148.83,145.02,86.61,93.16,99.13,109.21,136.53,125.19,133.58,81.55,153.52,89.52,0.019,0.02,0,0,0.96,0.001,5,"Aaron Altherr 2018"
"13","Hicks, Aaron",543305,2015,390,0.256,0.323,0.398,0.721,0.314,11,86.16,110.76,105.02,103.75,104.14,99.97,54.71,96.99,89.07,76.01,108.06,101.45,0.197,0.047,0.051,0,0.002,0.703,6,"Aaron Hicks 2015"
"14","Hicks, Aaron",543305,2016,361,0.217,0.281,0.336,0.617,0.27,8,92.31,99,91.66,86.03,89.96,86.03,70.07,98.68,116.59,81.68,108.58,69.71,0.024,0.823,0.116,0,0.002,0.036,2,"Aaron Hicks 2016"
"15","Hicks, Aaron",543305,2017,361,0.266,0.372,0.475,0.847,0.363,15,89.11,160.9,97.67,101.09,107.14,97.52,112.3,94.23,124.73,73.53,103.05,120.56,0.264,0.059,0.006,0.001,0.046,0.625,6,"Aaron Hicks 2017"
"16","Hicks, Aaron",543305,2018,581,0.248,0.366,0.467,0.833,0.36,27,89.11,178.4,106.04,113.4,116.33,108.4,123.86,117.54,117.55,65.38,81.28,148.2,0.193,0,0,0.096,0.014,0.697,6,"Aaron Hicks 2018"
"17","Hicks, Aaron",543305,2019,255,0.235,0.325,0.443,0.768,0.325,12,128.14,139.79,82.17,87.09,90.7,92.55,126.67,97.59,131.79,81.26,121.34,123.97,0.039,0.708,0.001,0,0.243,0.009,2,"Aaron Hicks 2019"
"18","Hicks, Aaron",543305,2022,453,0.216,0.33,0.313,0.643,0.292,8,109.11,167.46,90.11,85.47,97.31,91.71,73.89,85.11,113.41,70.32,103.12,60.46,0.022,0.801,0.048,0,0.009,0.121,2,"Aaron Hicks 2022"
"19","Hicks, Aaron",543305,2023,312,0.253,0.353,0.383,0.736,0.326,8,98.47,156.26,82.89,72.81,87.4,77.43,47.33,73.54,110.79,72.87,99.68,78.91,0.001,0.901,0.092,0,0,0.006,2,"Aaron Hicks 2023"
"20","Hill, Aaron",431094,2015,353,0.23,0.295,0.345,0.64,0.281,6,78.01,112.03,94.63,88.29,93.7,85.14,38.83,86.21,63.14,81.81,95.49,61.13,0.005,0.164,0.747,0,0,0.084,3,"Aaron Hill 2015"
"21","Hill, Aaron",431094,2016,427,0.262,0.336,0.378,0.714,0.313,10,67.76,114.5,103.51,87.47,96.8,85.5,18.28,75,66.53,79.94,90.01,73.66,0.003,0.042,0.855,0,0,0.1,3,"Aaron Hill 2016"
"22","Judge, Aaron",592450,2017,678,0.284,0.422,0.627,1.049,0.43,52,147.09,213.39,113.03,156.67,138.54,169.87,384.8,158.6,135.96,83,153.82,222.52,0,0,0,1,0,0,4,"Aaron Judge 2017"
"23","Judge, Aaron",592450,2018,498,0.278,0.392,0.528,0.92,0.391,27,142.3,176.1,110.49,128.52,122.9,142.75,228.02,147.88,156.14,75.44,147.66,172.91,0,0,0,0.991,0.008,0,4,"Aaron Judge 2018"
"24","Judge, Aaron",592450,2019,447,0.272,0.381,0.54,0.921,0.382,27,143.13,163.85,110.36,133.38,123.18,146.37,258.45,154.88,141.12,77.46,160.58,159.12,0,0,0,0.996,0.004,0,4,"Aaron Judge 2019"
"25","Judge, Aaron",592450,2021,633,0.287,0.373,0.544,0.917,0.387,39,111.98,132.88,124.17,141.64,129.07,139.64,208.55,146.93,113.26,85.73,114.44,180.6,0,0,0,1,0,0,4,"Aaron Judge 2021"
"26","Judge, Aaron",592450,2022,696,0.311,0.425,0.686,1.111,0.458,62,113.63,194.35,126.07,179.6,148.69,167.77,337.58,158.9,116.86,78.17,126.4,304.99,0,0,0,1,0,0,4,"Aaron Judge 2022"
"27","Judge, Aaron",592450,2023,458,0.267,0.406,0.613,1.019,0.42,37,126.53,222.24,115.72,170.53,142.87,167.23,325.38,160.59,157.87,67.99,145.36,248.63,0,0,0,1,0,0,4,"Aaron Judge 2023"
"28","Almonte, Abraham",501659,2015,258,0.25,0.31,0.409,0.719,0.312,5,102.99,103.12,102.62,103.25,103.19,104.64,104.13,99.32,113,93.74,111.53,69.7,0.545,0.118,0.019,0,0.02,0.299,1,"Abraham Almonte 2015"
"29","Toro, Abraham",647351,2021,375,0.239,0.315,0.373,0.688,0.303,11,64.5,93.47,99.58,99.19,99.74,87.67,87.69,85.29,73.45,108.88,63.6,85.98,0.029,0.024,0.758,0,0,0.19,3,"Abraham Toro 2021"
"30","Toro, Abraham",647351,2022,352,0.185,0.239,0.324,0.563,0.246,10,83.75,77.01,93.42,94.63,91.21,87.31,86.62,76.37,85.2,105.48,84.11,97.27,0.03,0.251,0.668,0,0,0.051,3,"Abraham Toro 2022"
"31","Mondesi, Adalberto",609275,2018,291,0.276,0.306,0.498,0.804,0.341,14,123.64,43.74,103.21,117.06,103.2,117.79,146.38,100.05,136.55,122.86,134,153.43,0.879,0.005,0,0.001,0.109,0.005,1,"Adalberto Mondesi 2018"
"32","Mondesi, Adalberto",609275,2019,443,0.263,0.291,0.424,0.715,0.298,9,135.41,49.27,92.5,87.54,86.72,100.61,110.03,90.17,154.53,133.13,140.6,53.52,0.045,0.93,0.003,0,0.022,0,2,"Adalberto Mondesi 2019"
"33","Duvall, Adam",594807,2016,607,0.241,0.297,0.498,0.795,0.333,33,132.58,81.1,97.58,117.66,104.59,116.68,184.32,116.72,114.69,113.65,120.88,171.01,0.715,0.002,0,0.014,0.261,0.008,1,"Adam Duvall 2016"
"34","Duvall, Adam",594807,2017,647,0.249,0.301,0.48,0.781,0.327,31,126.01,68.47,89.01,98.51,92.67,99.91,133.26,94.52,112.32,114.3,100.76,139.01,0.46,0.456,0.014,0,0.046,0.025,1,"Adam Duvall 2017"
"35","Duvall, Adam",594807,2018,427,0.195,0.274,0.365,0.639,0.277,15,127.83,100.14,91.88,104.13,99.45,108.13,146.38,113.71,118.14,113.52,112.52,112.03,0.671,0.079,0.001,0,0.22,0.03,1,"Adam Duvall 2018"
"36","Duvall, Adam",594807,2021,555,0.228,0.281,0.491,0.772,0.324,38,140.65,70.94,91.51,118.99,101.9,119.95,190.78,110.45,105.97,122.98,112.35,200.7,0.721,0.002,0,0.008,0.265,0.004,1,"Adam Duvall 2021"
"37","Duvall, Adam",594807,2022,315,0.213,0.276,0.401,0.677,0.295,12,145.32,81.9,86.39,100.48,94.1,108.73,163.06,105.42,123.19,117.09,104.3,130.43,0.477,0.178,0.001,0,0.336,0.008,1,"Adam Duvall 2022"
"38","Duvall, Adam",594807,2023,353,0.247,0.303,0.531,0.834,0.347,21,139.01,71.76,84.09,104.43,94.22,107.97,153.81,97.81,121.7,118.89,110.06,183.09,0.52,0.12,0,0,0.354,0.006,1,"Adam Duvall 2023"
"39","Eaton, Adam",594809,2015,689,0.287,0.361,0.431,0.792,0.346,14,96.87,106.94,100.22,87.29,97.49,92.83,54.71,90,83.75,94.42,80.78,73.08,0.042,0.204,0.559,0,0,0.195,3,"Adam Eaton 2015"
"40","Eaton, Adam",594809,2016,706,0.284,0.362,0.428,0.79,0.344,14,80.04,106.15,105.88,95.14,102.72,94.64,47.22,102.06,76.04,103.22,72.21,62.37,0.057,0.029,0.506,0,0,0.408,3,"Adam Eaton 2016"
"41","Eaton, Adam",594809,2018,370,0.301,0.394,0.411,0.805,0.358,5,80.71,118.55,109.68,90.96,105.08,94.18,43.63,83.1,66.49,95.92,77.62,43.1,0.016,0.02,0.636,0,0,0.328,3,"Adam Eaton 2018"
"42","Eaton, Adam",594809,2019,656,0.279,0.365,0.428,0.793,0.342,15,73.61,113.43,101.63,93.04,100.51,88.91,48.62,90.96,62.98,94.75,73.43,60.23,0.012,0.029,0.739,0,0,0.22,3,"Adam Eaton 2019"
"43","Eaton, Adam",594809,2021,288,0.201,0.282,0.327,0.609,0.271,6,110.64,85.58,87.08,73.68,84.92,82.68,50.95,85.54,92.51,107.07,88.67,61.07,0.002,0.691,0.305,0,0,0.002,2,"Adam Eaton 2021"
"44","Engel, Adam",641553,2017,336,0.166,0.235,0.282,0.517,0.23,6,166.73,65.04,70.5,66.84,73.89,86.66,53.9,64.95,161.97,105.57,127.54,51.81,0,0.999,0,0,0,0,2,"Adam Engel 2017"
"45","Engel, Adam",641553,2018,463,0.235,0.279,0.336,0.615,0.27,6,130.17,44.89,84.19,72.67,77.24,84.52,36.6,88.84,131.2,136.16,111.3,41.33,0.001,0.967,0.032,0,0,0,2,"Adam Engel 2018"
