"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","PC1","PC2","PC3","Cluster","maxProb","PlayerYear"
"1","Ellis, A.J.",454560,2015,217,0.238,0.355,0.403,0.758,0.165,0.336,7,89.22,187.14,97.03,102,108.26,97.5,120.01,93.78,83.75,46.7,93.61,116.02,0.626,0.007,0.264,0.007,0.002,0.03,0.065,0.847369582162748,0.806990090548823,-3.46761125145655,1,0.626,"A.J. Ellis 2015"
"2","Pierzynski, A.J.",150229,2015,436,0.3,0.339,0.43,0.769,0.13,0.333,9,43.34,56.02,110.61,99.76,100.66,89.54,61.77,74.85,67.13,133.27,53.76,74.24,0.006,0.059,0.247,0,0.001,0.685,0.002,-2.41647855732662,2.72467210423758,1.63175369247182,6,0.685,"A.J. Pierzynski 2015"
"3","Pierzynski, A.J.",150229,2016,259,0.219,0.243,0.304,0.547,0.085,0.236,2,55,27.43,97.58,82.92,83.73,77.7,27.42,95.58,61.46,150.49,83.99,24.29,0.01,0.058,0.06,0,0.018,0.855,0,-3.86111803513299,0.695100985735926,2.40314248736744,6,0.855,"A.J. Pierzynski 2016"
"4","Pollock, AJ",572041,2015,673,0.315,0.367,0.498,0.865,0.183,0.371,20,67.3,100.57,116.6,110.23,109.84,101.9,100.6,113.88,48.52,98.51,101.37,106.89,0.029,0.115,0.416,0,0.001,0.353,0.086,0.529588319716832,2.58923000284424,0.0593295925659245,3,0.416,"AJ Pollock 2015"
"5","Pollock, AJ",572041,2017,466,0.266,0.33,0.471,0.801,0.205,0.34,14,72.82,85.58,110.27,104.37,104.99,97.79,83.85,111.34,61.48,92.1,94.13,87.17,0.058,0.1,0.389,0,0.003,0.421,0.028,-0.211788217659497,1.91178375171785,-0.0417201519451313,6,0.421,"AJ Pollock 2017"
"6","Pollock, AJ",572041,2018,460,0.257,0.316,0.484,0.8,0.227,0.338,21,101.24,77.12,100.78,114.13,104.45,106.52,140.75,110.98,67.68,103.82,130.09,145.59,0.06,0.397,0.083,0.01,0.028,0.399,0.024,1.43527636789597,0.369441029212654,0.770144267102858,6,0.399,"AJ Pollock 2018"
"7","Pollock, AJ",572041,2019,342,0.266,0.327,0.468,0.795,0.202,0.333,15,98.15,76.77,100.83,102.67,100.82,100.35,102.36,105.81,89.8,100.62,123.75,115.54,0.116,0.258,0.1,0.01,0.051,0.457,0.008,0.425914187067913,-0.0290987294377394,0.493758826972318,6,0.457,"AJ Pollock 2019"
"8","Pollock, AJ",572041,2021,422,0.297,0.355,0.536,0.891,0.239,0.375,21,85.1,79.95,113.69,118.99,110.85,109.72,131.53,119.26,79.06,119.37,105.85,145.87,0.011,0.421,0.101,0.001,0.003,0.407,0.057,1.71438725783112,1.82917120978772,1.45053854494795,2,0.421,"AJ Pollock 2021"
"9","Pollock, AJ",572041,2022,527,0.245,0.292,0.389,0.681,0.144,0.297,14,84.21,74.56,106.65,106.59,101.8,99.95,119.75,107.99,87.5,116.06,105.49,90.95,0.037,0.268,0.117,0.002,0.016,0.553,0.009,0.21345231512916,0.890274967607219,1.09783161239289,6,0.553,"AJ Pollock 2022"
"10","Altherr, Aaron",571437,2016,227,0.197,0.3,0.288,0.588,0.091,0.266,4,149.27,120.46,84.55,74.77,87.78,93.29,47.22,98.4,121.66,96.62,125.07,55.43,0.466,0.019,0.01,0.061,0.384,0.06,0,-1.00559033184604,-2.9108955087893,-0.862971238272844,1,0.466,"Aaron Altherr 2016"
