"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xwobacon","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent"
"Hunter, Torii","116338","2015","567","22",18.5,6.2,".240",".409",".293","0.702",".229",".370",".304",".290",".325","88.5",28.5,5,34.9,17.1,34.1,36.2
"Ortiz, David","120074","2015","614","37",15.5,12.5,".273",".553",".360","0.913",".301",".616",".379",".420",".474","93",34.8,13.1,49.1,17,26.5,34.9
"Rodriguez, Alex","121347","2015","620","33",23.4,13.5,".250",".486",".356","0.842",".247",".494",".361",".368",".436","91.3",31.4,10.9,43.9,26.2,24.3,45.6
"Ramirez, Aramis","133380","2015","516","17",13.2,6,".246",".423",".297","0.720",".240",".405",".309",".304",".323","87.4",33.5,5.6,34.5,12.2,34.4,28.8
"Beltré, Adrián","134181","2015","619","18",10.5,6.6,".287",".453",".334","0.787",".295",".482",".337",".360",".380","89.5",35.7,5.5,40.4,11.2,35.4,25.5
"Beltran, Carlos","136860","2015","531","19",16,8.5,".276",".471",".337","0.808",".274",".448",".346",".346",".381","90.6",34.1,5.8,41.9,10.9,28.9,31.5
"Werth, Jayson","150029","2015","378","12",22.2,10.1,".221",".384",".302","0.686",".246",".428",".300",".331",".384","90",35.2,7.9,40.7,17.3,23.4,40.7
"Cuddyer, Michael","150212","2015","408","10",21.6,5.9,".259",".391",".309","0.700",".241",".373",".306",".296",".349","87.5",31.2,4.5,30.8,14.8,35.1,43
"Pierzynski, A.J.","150229","2015","436","9",8.5,4.4,".300",".430",".339","0.769",".277",".400",".333",".318",".326","85.4",34.9,3.5,25.7,10.1,39.1,20.1
"Rollins, Jimmy","276519","2015","563","13",15.3,7.8,".224",".358",".285","0.643",".233",".340",".283",".285",".302","85.7",32.1,2.5,23.1,11.3,24.8,35.2
"Hamilton, Josh","285078","2015","182","8",28.6,5.5,".253",".441",".291","0.732",".248",".417",".314",".317",".423","88.2",36.7,8.3,39.2,20.3,38.3,56
"Uribe, Juan","346874","2015","397","14",20.2,8.6,".253",".417",".320","0.737",".237",".380",".319",".304",".347","88.8",28.5,5.7,35.6,15.4,29.9,42.2
"Suzuki, Ichiro","400085","2015","438","1",11.6,7.1,".229",".279",".282","0.561",".228",".279",".250",".256",".257","83.2",27.2,0.6,13.8,6.7,25.1,18
"Martinez, Victor","400121","2015","485","11",10.7,6.4,".245",".366",".301","0.667",".270",".437",".286",".330",".346","87.7",33.7,4.1,33.2,10.8,31.4,18.9
"Utley, Chase","400284","2015","423","8",15.1,7.6,".212",".343",".286","0.629",".250",".368",".274",".306",".321","88.6",32.5,2.8,34.4,7.7,24.9,29
"Pujols, Albert","405395","2015","661","40",10.9,7.6,".244",".480",".307","0.787",".268",".481",".333",".346",".364","90.7",29.5,7.7,38.3,9.6,29.3,29.4
"Byrd, Marlon","407781","2015","544","23",26.7,5.3,".247",".453",".290","0.743",".238",".435",".317",".311",".406","86.3",33.9,8.5,31.1,20.8,41.9,48.5
"Holliday, Matt","407812","2015","277","4",17.7,14.1,".279",".410",".394","0.804",".264",".376",".351",".341",".356","90.4",28.4,4.9,39.9,16.6,26.1,35.8
"Teixeira, Mark","407893","2015","462","31",18.4,12.8,".255",".548",".357","0.905",".254",".494",".381",".372",".414","89.6",31.1,9.3,41.3,16.3,22.4,37.8
"Mauer, Joe","408045","2015","666","10",16.8,10.1,".265",".380",".338","0.718",".275",".426",".311",".338",".376","89.5",33.3,3.7,39.9,10.6,25.5,29.4
"Morneau, Justin","408047","2015","182","3",13.7,7.1,".310",".458",".363","0.821",".248",".418",".353",".316",".341","88.7",31.5,5.6,39.2,11.6,33.5,35
"Cabrera, Miguel","408234","2015","511","18",16,15.1,".338",".534",".440","0.974",".323",".595",".413",".432",".487","93.8",35.8,10.6,53.3,16.6,27.3,35.5
"Gonzalez, Adrian","408236","2015","642","28",16.7,9.7,".275",".480",".350","0.830",".281",".500",".354",".368",".414","88.8",40.7,8.4,36.8,14.6,32.3,33.3
"Phillips, Brandon","408252","2015","623","12",10.9,4.3,".294",".395",".328","0.723",".290",".390",".315",".316",".336","86.2",32.6,2.3,26,10.7,35.4,35.1
"Infante, Omar","408299","2015","455","2",15.2,2,".220",".318",".234","0.552",".241",".308",".238",".251",".289","84.2",29.7,0.8,20.4,9.5,34.2,39
"Crawford, Carl","408307","2015","192","4",21.4,5.2,".265",".403",".304","0.707",".289",".473",".305",".346",".428","89.8",37.9,7.1,41.4,14.8,36.1,40.9
"Reyes, José","408314","2015","519","7",11.9,5,".274",".378",".310","0.688",".240",".296",".300",".260",".272","84.6",28.1,0.2,18.6,10.6,35.6,25.1
"Ross, David","424325","2015","182","1",33.5,11,".176",".252",".267","0.519",".165",".289",".221",".232",".318","87.7",31.7,5.9,33.7,30.8,26.6,49.5
"Crisp, Coco","424825","2015","139","0",18,9.4,".175",".222",".252","0.474",".205",".274",".220",".254",".262","83.8",33.7,1,20.8,17,19.5,38
"Peralta, Jhonny","425509","2015","640","17",17.3,7.8,".275",".411",".334","0.745",".273",".426",".323",".332",".374","88.2",35.2,4.4,34,15.5,29,40.1
"Barmes, Clint","425549","2015","224","3",24.6,4.5,".232",".353",".281","0.634",".202",".284",".275",".238",".289","83.7",36.8,2.6,15.5,13.8,38.3,42
"LaRoche, Adam","425560","2015","484","12",27.5,10.1,".207",".340",".293","0.633",".211",".376",".283",".301",".368","89.6",31.5,8.1,35.9,16.6,26.2,45.9
"Rios, Alex","425567","2015","411","4",16.3,3.6,".255",".353",".287","0.640",".257",".361",".279",".289",".325","88.3",33,2.5,31.8,9.7,28.6,37.8
"Victorino, Shane","425664","2015","204","1",15.7,7.8,".230",".292",".308","0.600",".231",".285",".271",".275",".277","83.4",27.2,0,17.9,10.2,28.3,33.6
"Loney, James","425766","2015","388","4",8.8,5.9,".280",".357",".322","0.679",".268",".350",".294",".293",".300","85.5",34.8,1.2,21.5,8.1,29,23.1
"Mathis, Jeff","425772","2015","103","2",23.3,6.8,".161",".290",".214","0.504",".193",".270",".215",".239",".282","85.8",30.6,1.4,29.2,22.7,30.8,53.2
"Choo, Shin-Soo","425783","2015","653","22",22.5,11.6,".276",".463",".375","0.838",".254",".444",".365",".357",".413","90.9",33.5,8.4,44.1,21.5,22.9,39.8
"Rivera, René","425784","2015","319","5",27,3.4,".178",".275",".213","0.488",".192",".332",".215",".247",".319","85.9",29.2,6.4,28.3,23.7,38.7,46.8
"Francoeur, Jeff","425796","2015","343","13",22.4,3.8,".258",".433",".286","0.719",".252",".379",".308",".290",".357","88",35.7,4.8,33.3,17.9,43.6,34.5
"Upton Jr., B.J.","425834","2015","228","5",27.2,9.2,".259",".429",".327","0.756",".249",".415",".326",".320",".416","88.8",31,6.2,37.2,24.1,23.2,58.4
"Molina, Yadier","425877","2015","530","4",11.1,6,".270",".350",".310","0.660",".238",".329",".287",".270",".279","86.4",32.6,2.3,25.3,14.3,34,22.7
"Navarro, Dioner","425900","2015","192","5",15.1,8.9,".246",".374",".307","0.681",".242",".418",".296",".314",".336","87.2",32.2,5.5,27.4,13,25,38.1
"Fielder, Prince","425902","2015","693","23",12.7,9.2,".305",".463",".378","0.841",".277",".455",".360",".350",".369","90.9",29.4,6.4,44.5,10.5,32.4,36.1
"Canó, Robinson","429664","2015","674","21",15.9,6.4,".287",".446",".334","0.780",".295",".476",".335",".356",".404","91",32.4,7.3,45.7,11.1,31.7,34.3
"Encarnación, Edwin","429665","2015","624","39",15.7,12.3,".277",".557",".372","0.929",".264",".517",".392",".379",".407","90",31.1,10,43.9,17.9,23.2,36.8
"Hardy, J.J.","429666","2015","437","8",20.1,4.6,".219",".311",".253","0.564",".211",".298",".248",".246",".285","87.2",26.4,1.5,30.7,10.9,27.1,31.6
"Howard, Ryan","429667","2015","502","23",27.5,5.4,".229",".443",".277","0.720",".268",".520",".308",".359",".480","91.3",42.5,11.7,45.2,20.2,37.2,51.2
"Gutierrez, Franklin","429711","2015","189","15",28.6,7.4,".292",".620",".354","0.974",".265",".562",".410",".379",".510","90.8",44.9,16.9,46.6,21.3,25.6,49.1
