"","name","player_id","year","pa","avg","obp","slg","ops","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+"
"1","Hunter, Torii",116338,2015,567,0.24,0.293,0.409,0.702,0.304,22,94.3217675011419,78.9304762561388,91.4399169751506,92.2763698734423,91.7964513269567,89.2618521061814,88.2433152089018,101.647433201563,113.660850384914,116.232064629652,96.8240859718783,139.556166298479
"2","Ortiz, David",120074,2015,614,0.273,0.36,0.553,0.913,0.379,37,79.0263457442,159.134024709957,120.189585194412,153.627686059569,132.94658468042,130.184978148708,231.197485847323,143.005414618817,112.99616704933,90.3269710465041,93.3469779121147,216.741842817278
"3","Rodriguez, Alex",121347,2015,620,0.25,0.356,0.486,0.842,0.361,33,119.304289704147,171.864746686754,98.627334029966,123.201423560758,116.486531339035,119.7482077486,192.370427155406,127.860238325175,174.147033923085,82.8281281671716,121.966251942477,191.439547478801
"4","Ramirez, Aramis",133380,2015,516,0.246,0.297,0.423,0.72,0.309,17,67.2998557305445,76.3843318607795,95.8322273975378,101.005215672281,96.2280041496374,88.7125484009126,98.83251303397,100.482419640513,81.0913669412839,117.254634113198,77.031317016301,118.497347335363
"5","Beltré, Adrián",134181,2015,619,0.287,0.334,0.453,0.787,0.337,18,53.5339761492968,84.0227650468575,117.793779509474,120.208676429728,113.95421544036,104.367704001074,97.067646729792,117.666369665992,74.444533585441,120.663199058349,68.2048119415165,104.590265328409
"6","Beltran, Carlos",136860,2015,531,0.276,0.337,0.471,0.808,0.346,19,81.5755827036903,108.211136802771,109.408459612189,111.729226225141,109.522662617679,104.642355853708,102.362245642326,122.035170519928,72.4504835786881,98.5075269148667,84.2530029865792,128.697019306071
"7","Werth, Jayson",150029,2015,378,0.221,0.302,0.384,0.686,0.3,12,113.18612100137,128.580291965646,98.2280330824762,106.74131434009,104.774570307664,105.466311411611,139.424438030065,118.540129836779,114.990217056083,79.7604197165357,108.860229255675,114.182317880574
"8","Cuddyer, Michael",150212,2015,408,0.259,0.309,0.391,0.7,0.306,10,110.127036649982,75.1112596630999,96.2315283450275,93.0245566562,93.6956882509627,95.8534965694071,79.4189836880116,89.706044200806,98.3731336664756,119.640629574803,115.012035822949,88.1554660107371
"9","Pierzynski, A.J.",150229,2015,436,0.3,0.339,0.43,0.769,0.333,9,43.3370283113355,56.015176697905,110.606362454658,99.7582377010187,100.659556972318,89.5365039588158,61.7703206462313,74.8521212974258,67.1330168940137,133.274889355408,53.7614400009601,74.2446952273915
"10","Rollins, Jimmy",276519,2015,563,0.224,0.285,0.358,0.643,0.283,13,78.0066509604039,99.2996314190134,93.0371207651096,84.7945020458659,90.2137538902851,82.9448594955901,44.1216576044509,67.2795331506045,75.1092169210253,84.5324106397472,94.1493874643679,83.0509043909325
"11","Uribe, Juan",346874,2015,397,0.253,0.32,0.417,0.737,0.319,14,102.989173163409,109.484209000451,94.6343245550686,94.7703258159678,96.2280041496374,95.3041928641383,100.597379338148,103.686206933399,102.361233679981,101.916091860018,112.872277016941,126.837285101595
"12","Suzuki, Ichiro",400085,2015,438,0.229,0.282,0.279,0.561,0.25,1,59.1422974601755,90.3881260352558,91.0406160276609,69.5813707964606,81.0341087575894,70.5855261270419,10.5891978250682,40.1929678562053,44.5337834841477,85.5549801232925,48.1445731351881,8.21174203935634
"13","Martinez, Victor",400121,2015,485,0.245,0.301,0.366,0.667,0.286,11,54.5536709330929,81.4766206514982,107.81125582223,108.985874688363,104.45803082033,95.0295410115039,72.3595184712995,96.6961255671026,71.7858002431038,107.028939277744,50.5518017919475,81.5756147332347
"14","Utley, Chase",400284,2015,423,0.212,0.286,0.343,0.629,0.274,8,76.9869561766077,96.753487023654,99.8252368724352,91.7775786849372,96.8610831243061,88.1632446956438,49.416256516985,100.191166250251,51.1806168399907,84.8732671342623,77.5662567178031,68.0235085245972
"15","Pujols, Albert",405395,2015,661,0.244,0.307,0.48,0.787,0.333,40,55.573365716889,96.753487023654,107.012653927251,119.959280835475,109.522662617679,99.9732743589232,135.894705421709,111.550048470483,63.8096002160923,99.8709528929271,78.6361361208073,217.654645279157
"16","Byrd, Marlon",407781,2015,544,0.247,0.29,0.453,0.743,0.317,23,136.129253636783,67.4728264770219,95.0336255025583,108.487083499858,98.4437805609777,111.508652169568,150.013635855133,90.5798043715931,138.254133801533,142.818871201831,129.722877614257,152.068178868522
"17","Holliday, Matt",407812,2015,277,0.279,0.394,0.41,0.804,0.351,4,90.2429883659574,179.503179872832,105.415450137292,93.7727434389576,107.939965181008,97.7760595378479,86.4784489047238,116.210102714681,110.337433706993,88.9635450684436,95.7542065688741,51.9385272669758
"18","Teixeira, Mark",407893,2015,462,0.255,0.357,0.548,0.905,0.381,31,93.8119201092439,162.953241302996,101.422440662394,123.201423560758,117.752689288372,113.705866990643,164.132566288557,120.287650178354,108.34338370024,76.3518547713846,101.103603583895,241.339899156667
"19","Mauer, Joe",408045,2015,666,0.265,0.338,0.38,0.718,0.311,10,85.6543618388748,128.580291965646,109.807760559679,106.242523151585,106.990346719005,103.269096590536,65.3000532545874,116.210102714681,70.4564335719352,86.918406101353,78.6361361208073,54.00515034892
"20","Cabrera, Miguel",408234,2015,511,0.338,0.44,0.534,0.974,0.413,18,81.5755827036903,192.233901849628,128.974206039186,148.390378580265,136.745058528432,133.755452232955,187.075828242872,155.238057009836,110.337433706993,93.0538230026249,94.951797016621,126.695448607212
"21","Gonzalez, Adrian",408236,2015,642,0.275,0.35,0.48,0.83,0.354,28,85.1445144469768,123.488003174927,112.203566244617,124.697797126273,116.486531339035,113.705866990643,148.248769550955,107.181247616547,97.043766995307,110.09664772838,89.067460300098,156.867296527517
