name,,year,pa,avg,obp,slg,ops,iso,woba,k_pct+,bb_pct+,xba+,xslg+,xwoba+,xwobacon+,barrel_rate+,hard_hit_pct+,z_sw_miss_pct+,oz_sw_pct+,oz_sw_miss_pct+,hr_rate+,probC1,probC2,probC3,probC4,probC5,probC6,probC7,PC1,PC2,PC3,Cluster,maxProb
"Martin, Russell",Russell Martin,2018,352,0.194,0.338,0.325,0.663,0.131,0.305,108.71,183.01,80.14,78.77,96.32,83.98,88.67,117.54,125.27,36.64,122.04,90.6,0.927,0.001,0.013,0.043,0.011,0.004,0.001,0.1875574,-2.015196807,-3.994565424,1,0.927
"Barnes, Austin",Austin Barnes,2018,238,0.205,0.329,0.29,0.619,0.085,0.281,131.57,149.63,74.47,62.43,82.87,78.62,52.08,86.11,84.9,66.46,84.21,53.6,0.91,0.001,0.02,0.007,0.044,0.017,0,-2.617661204,-2.260723644,-2.829485592,1,0.91
"Nimmo, Brandon",Brandon Nimmo,2019,254,0.221,0.375,0.407,0.782,0.186,0.34,127.23,207.39,85.75,79.98,101.43,97.75,87,94.41,123.63,62.59,117.97,82.97,0.897,0.002,0.019,0.056,0.016,0.008,0.001,0.443462491,-1.848960605,-3.504827808,1,0.897
"Forsythe, Logan",Logan Forsythe,2017,439,0.224,0.351,0.327,0.678,0.103,0.307,118.82,179.15,92.94,90.06,102.21,98.58,58.39,99.74,109.36,46.23,108.92,39.65,0.895,0.003,0.061,0.017,0.007,0.014,0.004,0.026883584,-0.816497889,-3.569057848,1,0.895
"Walls, Taylor",Taylor Walls,2023,349,0.201,0.305,0.333,0.638,0.132,0.287,117.62,145.84,81.28,71.38,85.85,81.11,39.05,72.04,124,62.06,113.52,70.55,0.89,0.002,0.015,0.016,0.061,0.016,0,-1.952938354,-2.491016938,-2.707095202,1,0.89
"Szczur, Matt",Matt Szczur,2017,237,0.226,0.35,0.354,0.704,0.128,0.316,89.11,163.18,77.98,67.78,89.59,72.61,19.46,56.83,99.9,79.72,80.86,36.73,0.881,0.001,0.064,0.002,0.019,0.033,0,-3.492691517,-1.289891698,-2.822168883,1,0.881
"Swisher, Nick",Nick Swisher,2015,260,0.196,0.312,0.32,0.632,0.124,0.285,106.05,171.86,76.67,75.82,89.26,77.45,52.95,86.79,120.97,75.33,125.18,83,0.881,0.002,0.014,0.027,0.061,0.015,0,-1.366375424,-2.491431665,-2.717137179,1,0.881
"DeShields, Delino",Delino DeShields,2015,492,0.261,0.344,0.374,0.718,0.113,0.317,104.52,137.49,87.85,75.57,89.58,83.49,21.18,65.24,107.68,65.79,113.14,14.62,0.879,0.002,0.046,0.005,0.034,0.034,0,-2.531679576,-1.592115479,-2.57717346,1,0.879
"Biggio, Cavan",Cavan Biggio,2022,303,0.202,0.318,0.35,0.668,0.148,0.302,127.22,152.79,79.78,81.15,92.49,89.79,87.9,84.34,109.38,55.98,129.49,67.8,0.878,0.003,0.013,0.047,0.049,0.011,0,-0.606777813,-2.465853849,-2.9207423,1,0.878
"Hicks, Aaron",Aaron Hicks,2023,312,0.253,0.353,0.383,0.736,0.13,0.326,98.47,156.26,82.89,72.81,87.4,77.43,47.33,73.54,110.79,72.87,99.68,78.91,0.876,0.003,0.044,0.007,0.036,0.034,0,-2.167296102,-1.620385332,-2.54727546,1,0.876
